Country,Job_Title,Highest_Salary
" USA","Product Manager",86000
Afghanistan,"Country Director",41000
Africa,"Communications Specialist",90000
America,Librarian,115000
"Aotearoa New Zealand","Programme Coordinator",54448
Argentina,"Full stack Developer",114000
Australia,"Systems Analyst",168200
Austria,"DevOps Lead",120000
"Bahamas ","Manager of Corporate Services",66000
Bangladesh,Diplomat,70000
Belgium,"general counsel",170000
Bermuda,"Office Manager and Executive Assistant",132500
Bosnia,"Marketing Automation Analyst",6500
Brazil,"Subsea Engineer",156000
"Britain ","Class Teacher",39000
Bulgaria,"SAP Consultant",55000
Burma,IT,1700
"California ","Plant Manager ",78000
Cambodia,"Volunteer and Partnerships Program Manager",24000
Canada,"Enterprise Architect",170000
Canada,Associate,170000
Canada,Director,170000
Canada,Associate,170000
Canada,"President and Co-Founder",170000
Canada,"Staff Product Designer",170000
Canada,"Senior Data Scientist",170000
Canada,"HR Director",170000
Canada,"Vice President",170000
Catalonia,"Financial Manager",60000
Cayman,"Senior analyst",81000
Chile,"Customer Project Officer",38000
China,Teacher,120000
Colombia,"Data engineer",49200
Congo,"Program Manager",84000
"Costa Rica","Value Stream Manager",78000
"Cote d'Ivoire","HR and Operations Manager",67500
Croatia,Waiter,50000
Cuba,"Frontend Engineer",9600
Cyprus,"Senior Management Consultant",21450
Denmark,"Business Development Manager",120000
Denmark,"Freelance Copywriter",120000
Ecuador,"Petroleum Engineer",84000
England,"Director, Customer Success",125000
Eritrea,"Foreign Service Officer",98000
Estonia,"Email Marketing and SMS Specialist",27960
Europe,recruiter,42000
Finland,"Performance Marketing Lead ",65000
France,"Senior Software Engineer",155000
Germany,"Freelance Copywriter ",160000
Ghana,"Chief Operating Officer",132000
"Great Britain","Procurement manager",40000
Greece,"Justice Minister Employee",45000
Hartford,"Staff Development Specialist",91000
"Hong Kong","Senior Manager, Communications ",102028
Hungary,"IT Advisor, Manager",69241
India,"Software Engineer",100000
"International ","Clinical applications specialist ",108000
Ireland,"Head of Operational Excellence",170000
"Ireland ","Senior program manager ",106000
ISA,"Senior manager",167000
"Isle of Man","Senior software developer ",86000
Israel,Devop,100000
Italy,"Tech Lead",148000
Jamaica,"IT Team Lead",45000
Japan,Manager,135000
Jersey,"Executive Assistant",31000
Jordan,"Business Consultant",34000
Kenya,"Director of Business Development",60000
Kuwait,"Instructional coach ",13560
Latvia,"Vice President",50000
Liechtenstein,"Program Manager",152000
Lithuania,"Lead Software Engineer",72000
London,"Site Activation Manager",70000
Louterland,DBA,1000
Luxembourg,"Technical Program Manager",120000
Malaysia,"JavaScript Developer",130000
Malta,"Software architect ",42000
Mexico,"Foreign Service Officer ",128000
Morocco,"Production engineer",28000
Myanmar,"Risk Management Associate",1200
Netherlands,"Software Architect ",150000
Netherlands,"Director of Engineering ",150000
Netherlands,"developer ",150000
"New Zealand","Principal software engineer",167000
Nigeria,"Legal Practitioner",20000
"Northern Ireland","Marketing Executive",35000
Norway,"Technical Document Engineer",61000
Pakistan,"Foreign Service Officer",102824
Panama,"QA Coordinator",27600
Philippines,"Publishing specialist",156000
Poland,"Lead Software Engineer ",155000
Policy,"Team Lead",112000
Portugal,"Staff Software Engineer",105000
"Puerto Rico","Executive Assistant",80000
Qatar,"Field engineer",68000
Remote,"Senior analyst",85000
Romania,"Principal Product Designer",85000
"Russia ","Assistant ",15000
Rwanda,"Senior associate geotechnical engineer",65000
"San Francisco","User Operations Senior Associate",48000
"Saudi Arabia","Site reliability engineer",163200
Scotland,"Director of Engineering",95000
Serbia,"Senior Technical Sales Consultant",23400
"Sierra Leone","Country Director",97000
Singapore,"Senior manager ",135000
Singapore,SWE,135000
Slovania,"Web Developer",140000
Slovenia," Foreman",20000
Somalia,"Program Manager",58000
"South Africa",CTO,120000
"South Korea ","Native English Teacher",22717
Spain,"Staff Engineer",160000
"Sri lanka",Director,160000
Sweden,"Virtual Assistant, Webmaster",63300
Switzerland,"Responsible for an external-facing unit",170000
Taiwan,"Adminstration Specialist",1641
Thailand,"Senior Project Manager",52000
Trinidad,"Associate Attorney",62400
Turkey,"Computer Scientist",10000
UA,"Associate Consultant",105000
UAE,"Proposals and Marketing Manager",98000
Uganda,Director,100000
UK,"Engineering Director",170000
"Ukraine ","Senior illustrator ",12000
Unknown,"Senior Acquisition and Assistance Specialist",125500
Uruguay,"Engineering manager ",84000
USA,Consultant,171000
USA,"Senior Software Engineer",171000
USA,"Software Engineer",171000
USA,Consultant,171000
USA,Director,171000
USA,"Associate Director, Marketing Communications",171000
"USA ","Director ",170000
"USA ","Principal Scientist ",170000
"USA ","Senior Design Architect ",170000
"USA ","Director, Corporate Communications ",170000
Vietnam,"Reference Librarian",21600
Virginia,Attorney,94500
Wales,"Engineering Manager",77000
Zimbabwe,Chef,50000
